ticket_id,text,category,priority
1,"Unable to login to account, urgent help needed","Account","High"
2,"Billing discrepancy in last invoice","Billing","Medium"
3,"Website is loading very slowly","Technical","Medium"
4,"Password reset not working","Account","High"
5,"Request for new feature in dashboard","Feature","Low"
6,"Payment gateway error during checkout","Billing","High"
7,"App crashes when uploading file","Technical","High"
8,"Need clarification on subscription plan","Billing","Low"
9,"Account locked after multiple failed attempts","Account","High"
10,"Slow response from server","Technical","Medium"
11,"Refund not processed correctly","Billing","High"
12,"Feature request: dark mode","Feature","Low"
13,"Error 404 when accessing reports","Technical","High"
14,"Unable to update profile information","Account","Medium"
15,"Invoice shows duplicate charges","Billing","High"
16,"Feature request: export data to Excel","Feature","Low"
17,"System crash during peak hours","Technical","High"
18,"Account verification email not received","Account","Medium"
19,"Payment declined despite sufficient balance","Billing","High"
20,"Feature request: mobile app notifications","Feature","Low"
21,"Website downtime reported","Technical","High"
22,"Account suspended without reason","Account","High"
23,"Incorrect tax calculation in invoice","Billing","Medium"
24,"Feature request: multi-language support","Feature","Low"
25,"Frequent timeout errors","Technical","High"
26,"Unable to change password","Account","Medium"
27,"Overcharged for subscription","Billing","High"
28,"Feature request: API access","Feature","Low"
29,"Database connection error","Technical","High"
30,"Account deletion request not processed","Account","Medium"
31,"Late payment reminder despite payment made","Billing","Medium"
32,"Feature request: advanced search","Feature","Low"
33,"Application freezes on startup","Technical","High"
34,"Account recovery process too slow","Account","Medium"
35,"Wrong currency shown in invoice","Billing","Medium"
36,"Feature request: customizable dashboard","Feature","Low"
37,"Frequent server crashes","Technical","High"
38,"Account balance not updated","Account","Medium"
39,"Double billing for same service","Billing","High"
40,"Feature request: chatbot integration","Feature","Low"
